Full_Name,Team,Position,Overall,Madden_Year
Josh Freeman,MIA,QB,67,2016
Mike Gillislee,MIA,HB,68,2016
Brent Grimes,MIA,CB,87,2016
Donald Hawkins,MIA,RT,64,2016
Matt Hazel,MIA,WR,67,2016
Ja'Wuan James,MIA,RT,76,2016
LaMichael James,MIA,HB,66,2016
Jelani Jenkins,MIA,ROLB,79,2016
Greg Jennings,MIA,WR,81,2016
Anthony Johnson,MIA,DT,67,2016
Don Jones,MIA,FS,69,2016
Reshad Jones,MIA,SS,92,2016
Dion Jordan,MIA,RE,74,2016
Jordan Kovacs,MIA,FS,71,2016
Jarvis Landry,MIA,WR,80,2016
Jeff Linkenbach,MIA,RG,75,2016
Tony Lippett,MIA,CB,63,2016
Arthur Lynch,MIA,TE,72,2016
Rishard Matthews,MIA,WR,72,2016
Bobby McCain,MIA,CB,65,2016
Brice McCain,MIA,CB,76,2016
Chris McCain,MIA,LOLB,70,2016
Jacques McClendon,MIA,C,71,2016
Lamar Miller,MIA,HB,84,2016
Koa Misi,MIA,MLB,84,2016
Earl Mitchell,MIA,DT,80,2016
Matt Moore,MIA,QB,73,2016
C.J. Mosley,MIA,DT,79,2016
DeVante Parker,MIA,WR,76,2016
Spencer Paysinger,MIA,ROLB,76,2016
Jordan Phillips,MIA,DT,65,2016
Mike Pouncey,MIA,C,84,2016
Michael Preston,MIA,WR,65,2016
Gerell Robinson,MIA,FB,62,2016
Sammy Seamster,MIA,CB,65,2016
Derrick Shelby,MIA,LE,76,2016
Kelvin Sheppard,MIA,MLB,73,2016
Dion Sims,MIA,TE,77,2016
Kenny Stills,MIA,WR,81,2016
Jake Stoneburner,MIA,TE,67,2016
Tommy Streeter,MIA,WR,64,2016
Caleb Sturgis,MIA,K,76,2016
Ndamukong Suh,MIA,DT,96,2016
Ryan Tannehill,MIA,QB,85,2016
Jamar Taylor,MIA,CB,68,2016
Dallas Thomas,MIA,LG,72,2016
Michael Thomas,MIA,FS,69,2016
Cedric Thompson,MIA,FS,64,2016
Jordan Tripp,MIA,ROLB,66,2016
Billy Turner,MIA,RG,75,2016
Olivier Vernon,MIA,RE,83,2016
Zach Vigil,MIA,LOLB,62,2016
Cameron Wake,MIA,LE,94,2016
J.D. Walton,MIA,C,73,2016
Damien Williams,MIA,HB,71,2016
Emmanuel Acho,PHI,MLB,69,2016
Nelson Agholor,PHI,WR,74,2016
Seyi Ajirotutu,PHI,WR,69,2016
Beau Allen,PHI,DT,69,2016
Kiko Alonso,PHI,MLB,87,2016
Miles Austin,PHI,WR,78,2016
Brandon Bair,PHI,RE,69,2016
Allen Barbre,PHI,RG,77,2016
Matt Barkley,PHI,QB,69,2016
Kenjon Barner,PHI,HB,67,2016
Connor Barwin,PHI,LOLB,87,2016
E.J. Biggers,PHI,CB,71,2016
Brandon Boykin,PHI,CB,82,2016
Sam Bradford,PHI,QB,79,2016
Bryan Braman,PHI,ROLB,72,2016
Trey Burton,PHI,TE,70,2016
Nolan Carroll,PHI,CB,74,2016
Brent Celek,PHI,TE,85,2016
Riley Cooper,PHI,WR,76,2016
Jerome Couplin,PHI,SS,69,2016
Fletcher Cox,PHI,RE,92,2016
Vinny Curry,PHI,LE,81,2016
Devante Davis,PHI,WR,65,2016
Jon Dorenbos,PHI,TE,51,2016
Zach Ertz,PHI,TE,84,2016
Randall Evans,PHI,CB,69,2016
Andrew Gardner,PHI,LT,67,2016
Najee Goode,PHI,MLB,64,2016
Kevin Graf,PHI,RT,67,2016
Brandon Graham,PHI,ROLB,86,2016
Taylor Hart,PHI,LE,71,2016
Brandon Hepburn,PHI,ROLB,70,2016
Jordan Hicks,PHI,MLB,64,2016
Josh Huff,PHI,WR,72,2016
Malcolm Jenkins,PHI,FS,85,2016
Lane Johnson,PHI,RT,88,2016
Brad Jones,PHI,MLB,73,2016
Donnie Jones,PHI,P,78,2016
Jason Kelce,PHI,C,87,2016
Wade Keliikipi,PHI,DT,68,2016
Dennis Kelly,PHI,LG,72,2016
Mychal Kendricks,PHI,MLB,86,2016
G.J. Kinne,PHI,QB,62,2016
Bennie Logan,PHI,DT,80,2016
Jeff Maehl,PHI,WR,64,2016
Chris Maragos,PHI,FS,74,2016
Ryan Mathews,PHI,HB,84,2016
Jordan Matthews,PHI,WR,81,2016
Byron Maxwell,PHI,CB,84,2016
Brian Mihalik,PHI,RE,58,2016
David Molk,PHI,C,74,2016
DeMarco Murray,PHI,HB,94,2016
Cody Parkey,PHI,K,80,2016
Jason Peters,PHI,LT,96,2016
Quron Pratt,PHI,WR,66,2016
Chris Prosinski,PHI,SS,69,2016
Ed Reynolds,PHI,FS,70,2016
Eric Rowe,PHI,CB,72,2016
DeMeco Ryans,PHI,MLB,82,2016
Mark Sanchez,PHI,QB,76,2016
JaCorey Shepherd,PHI,CB,63,2016
Marcus Smith,PHI,LOLB,70,2016
Darren Sproles,PHI,HB,82,2016
Tim Tebow,PHI,QB,68,2016
Cedric Thornton,PHI,LE,81,2016
Walter Thurmond,PHI,CB,75,2016
Matt Tobin,PHI,RG,72,2016
Eric Tomlinson,PHI,TE,65,2016
Matthew Tucker,PHI,FB,66,2016
Julian Vandervelde,PHI,C,66,2016
Jaylen Watkins,PHI,CB,68,2016
Earl Wolff,PHI,SS,77,2016
Phillip Adams,ATL,CB,70,2016
Robert Alford,ATL,CB,75,2016
Ricardo Allen,ATL,CB,68,2016
Jon Asamoah,ATL,RG,85,2016
Jonathan Babineaux,ATL,DT,83,2016
Sean Baker,ATL,FS,69,2016
Joplo Bartu,ATL,MLB,73,2016
Vic Beasley Jr.,ATL,RE,77,2016
Kroy Biermann,ATL,RE,77,2016
Matt Bosher,ATL,P,92,2016
Allen Bradford,ATL,MLB,66,2016
Matt Bryant,ATL,K,91,2016
Chris Chester,ATL,LG,83,2016
Adrian Clayborn,ATL,RE,78,2016
Tevin Coleman,ATL,HB,74,2016
Jalen Collins,ATL,CB,71,2016
Patrick DiMarco,ATL,FB,79,2016
Justin Durant,ATL,ROLB,84,2016
Devonta Freeman,ATL,HB,75,2016
Charles Godfrey,ATL,FS,76,2016
Malliciah Goodman,ATL,LE,69,2016
Harland Gunn,ATL,LG,70,2016
Ra'Shede Hageman,ATL,DT,73,2016
Leonard Hankerson,ATL,WR,76,2016
Justin Hardy,ATL,WR,71,2016
Josh Harris,ATL,TE,62,2016
Ricky Havili-Heimuli,ATL,DT,66,2016
Joe Hawley,ATL,C,74,2016
Devin Hester,ATL,WR,74,2016
Lamar Holmes,ATL,LT,70,2016
Kemal Ishmael,ATL,SS,79,2016
Tyson Jackson,ATL,LE,77,2016
Grady Jarrett,ATL,DT,67,2016
Julio Jones,ATL,WR,94,2016
Akeem King,ATL,FS,62,2016
Peter Konz,ATL,C,70,2016
Stansly Maponga,ATL,RE,72,2016
Freddie Martino,ATL,WR,61,2016
Cliff Matthews,ATL,LE,72,2016
Jake Matthews,ATL,LT,75,2016
Tony Moeaki,ATL,TE,74,2016
Collin Mooney,ATL,FB,73,2016
William Moore,ATL,SS,80,2016
Mike Person,ATL,LG,73,2016
Tyler Polumbus,ATL,RT,73,2016
Brooks Reed,ATL,LOLB,80,2016
Bernard Reedy,ATL,WR,62,2016
Sean Renfree,ATL,QB,70,2016
Jake Rodgers,ATL,RT,62,2016
Matt Ryan,ATL,QB,90,2016
O'Brien Schofield,ATL,LOLB,74,2016
Ryan Schraeder,ATL,RT,80,2016
Mickey Shuler,ATL,TE,66,2016
Antone Smith,ATL,HB,75,2016
Jared Smith,ATL,RG,72,2016
Jerome Smith,ATL,HB,67,2016
Paul Soliai,ATL,DT,80,2016
Dezmen Southward,ATL,FS,76,2016
Marquis Spruill,ATL,ROLB,68,2016
Tyler Starr,ATL,LOLB,63,2016
James Stone,ATL,C,67,2016
Nathan Stupar,ATL,MLB,66,2016
Jacob Tamme,ATL,TE,77,2016
Levine Toilolo,ATL,TE,75,2016
Desmond Trufant,ATL,CB,90,2016
Eric Weems,ATL,WR,72,2016
Kevin White,ATL,CB,65,2016
Roddy White,ATL,WR,84,2016
Nick Williams,ATL,WR,61,2016
Paul Worrilow,ATL,MLB,77,2016
Shane Wynn,ATL,WR,54,2016
T.J. Yates,ATL,QB,72,2016
Prince Amukamara,NYG,CB,86,2016
Robert Ayers,NYG,LE,82,2016
Jon Beason,NYG,MLB,79,2016
Will Beatty,NYG,LT,85,2016
Odell Beckham Jr.,NYG,WR,94,2016
Nat Berhe,NYG,SS,70,2016
Chris Boswell,NYG,K,52,2016
Jay Bromley,NYG,DT,69,2016
Chykie Brown,NYG,CB,70,2016
Josh Brown,NYG,K,87,2016
Victor Butler,NYG,ROLB,76,2016
Jonathan Casillas,NYG,ROLB,76,2016
Landon Collins,NYG,SS,74,2016
Juron Criner,NYG,WR,70,2016
Victor Cruz,NYG,WR,84,2016
Orleans Darkwa,NYG,HB,70,2016
Geremy Davis,NYG,WR,66,2016
Zak DeOssie,NYG,TE,62,2016
Larry Donnell,NYG,TE,79,2016
Kenrick Ellis,NYG,DT,75,2016
Daniel Fells,NYG,TE,76,2016
Chandler Fenner,NYG,CB,64,2016
Ereck Flowers,NYG,LT,73,2016
Adam Gettis,NYG,RG,68,2016
Josh Gordy,NYG,CB,73,2016
Dominique Hamilton,NYG,DT,68,2016
Johnathan Hankins,NYG,DT,86,2016
Chris Harper,NYG,WR,66,2016
Dwayne Harris,NYG,WR,75,2016
Mike Harris,NYG,CB,69,2016
Bobby Hart,NYG,LG,62,2016
Eric Herman,NYG,RG,65,2016
Mark Herzlich,NYG,LOLB,75,2016
Jayron Hosley,NYG,CB,70,2016
Henry Hynoski,NYG,FB,90,2016
Bennett Jackson,NYG,CB,64,2016
Cullen Jenkins,NYG,LE,78,2016
Rashad Jennings,NYG,HB,80,2016
John Jerry,NYG,LG,77,2016
Devon Kennard,NYG,LOLB,79,2016
Troy Kropog,NYG,LG,72,2016
Markus Kuhn,NYG,DT,70,2016
Robert Malone,NYG,P,66,2016
Eli Manning,NYG,QB,87,2016
Trumaine McBride,NYG,CB,75,2016
Jameel McClain,NYG,MLB,77,2016
Damontre Moore,NYG,LE,76,2016
Brandon Mosley,NYG,RT,70,2016
Ryan Nassib,NYG,QB,71,2016
Marshall Newhouse,NYG,LT,71,2016
Owamagbe Odighizuwa,NYG,RE,69,2016
Preston Parker,NYG,WR,70,2016
Jason Pierre-Paul,NYG,RE,89,2016
Justin Pugh,NYG,RT,79,2016
Rueben Randle,NYG,WR,82,2016
Dallas Reynolds,NYG,LG,70,2016
Weston Richburg,NYG,C,74,2016
Adrien Robinson,NYG,TE,70,2016
Dominique Rodgers-Cromartie,NYG,CB,88,2016
Geoff Schwartz,NYG,RG,78,2016
George Selvie,NYG,RE,74,2016
Ricky Stanzi,NYG,QB,64,2016
Julian Talley,NYG,WR,63,2016
Cooper Taylor,NYG,FS,71,2016
J.T. Thomas,NYG,ROLB,75,2016
Mykkele Thompson,NYG,FS,64,2016
Shane Vereen,NYG,HB,81,2016
Trevin Wade,NYG,CB,64,2016
Corey Washington,NYG,WR,66,2016
Steve Weatherford,NYG,P,79,2016
Nikita Whitlock,NYG,FB,61,2016
Andre Williams,NYG,HB,73,2016
Kerry Wynn,NYG,RE,65,2016
Tyson Alualu,JAX,LE,76,2016
Bryan Anger,JAX,P,86,2016
Zane Beadles,JAX,LG,83,2016
Arrelious Benn,JAX,WR,71,2016
Michael Bennett,JAX,DT,69,2016
Justin Blackmon,JAX,WR,76,2016
Cody Booth,JAX,RT,66,2016
Blake Bortles,JAX,QB,74,2016
Luke Bowanko,JAX,C,75,2016
Andre Branch,JAX,LE,75,2016
Sergio Brown,JAX,FS,80,2016
Tommie Campbell,JAX,CB,66,2016
A.J. Cann,JAX,LG,73,2016
Chris Clemons,JAX,RE,77,2016
Aaron Colvin,JAX,CB,71,2016
Johnathan Cyprien,JAX,SS,79,2016
Matt Daniels,JAX,SS,73,2016
Ryan Davis,JAX,RE,76,2016
Tandon Doss,JAX,WR,71,2016
Josh Evans,JAX,FS,70,2016
Khairi Fortt,JAX,LOLB,68,2016
Dante Fowler Jr.,JAX,RE,79,2016
Jeremiah George,JAX,MLB,67,2016
Toby Gerhart,JAX,HB,73,2016
Corey Grant,JAX,HB,58,2016
Dwayne Gratz,JAX,CB,78,2016
Rashad Greene,JAX,WR,71,2016
Clay Harbor,JAX,TE,74,2016
Jeremy Harris,JAX,CB,67,2016
Chad Henne,JAX,QB,73,2016
Ziggy Hood,JAX,DT,78,2016
Davon House,JAX,CB,80,2016
Allen Hurns,JAX,WR,73,2016
Nic Jacobs,JAX,FB,70,2016
Luke Joeckel,JAX,LT,76,2016
Storm Johnson,JAX,HB,70,2016
Abry Jones,JAX,DT,68,2016
Ben Koyack,JAX,TE,64,2016
Marqise Lee,JAX,WR,74,2016
Marcedes Lewis,JAX,TE,81,2016
Brandon Linder,JAX,RG,87,2016
Craig Loston,JAX,SS,71,2016
John Lotulelei,JAX,ROLB,68,2016
Sen'Derrick Marks,JAX,DT,87,2016
Demetrius McCray,JAX,CB,77,2016
Roy Miller,JAX,DT,75,2016
Stephen Morris,JAX,QB,64,2016
Jared Odrick,JAX,DT,84,2016
Jermey Parnell,JAX,RT,84,2016
Austin Pasztor,JAX,RT,74,2016
Bernard Pierce,JAX,HB,72,2016
Paul Posluszny,JAX,MLB,83,2016
LaRoy Reynolds,JAX,LOLB,73,2016
Allen Robinson,JAX,WR,79,2016
Denard Robinson,JAX,HB,74,2016
James Sample,JAX,SS,67,2016
Ace Sanders,JAX,WR,71,2016
Josh Scobee,JAX,K,85,2016
Tyler Shatley,JAX,RG,67,2016
Dan Skuta,JAX,LOLB,80,2016
Chris Smith,JAX,RE,70,2016
Telvin Smith,JAX,ROLB,79,2016
Neal Sterling,JAX,WR,59,2016
Julius Thomas,JAX,TE,89,2016
Peyton Thompson,JAX,CB,63,2016
Carson Tinker,JAX,TE,52,2016
Jeff Tuel,JAX,QB,66,2016
Bryan Walters,JAX,WR,65,2016
Josh Wells,JAX,RT,73,2016
Brennan Williams,JAX,LT,60,2016
Stefen Wisniewski,JAX,C,80,2016
T.J. Yeldon,JAX,HB,73,2016
Sam Young,JAX,LT,65,2016
Oday Aboushi,NYJ,RT,75,2016
Antonio Allen,NYJ,FS,79,2016
Jace Amaro,NYJ,TE,76,2016
Jason Babin,NYJ,ROLB,79,2016
T.J. Barnes,NYJ,RE,62,2016
Tommy Bohanon,NYJ,FB,76,2016
Stephen Bowen,NYJ,RE,73,2016
James Brewer,NYJ,LG,74,2016
Curtis Brown,NYJ,CB,69,2016
James Carpenter,NYJ,RG,80,2016
Willie Colon,NYJ,LG,77,2016
Quinton Coples,NYJ,ROLB,79,2016
Antonio Cromartie,NYJ,CB,86,2016
Jeff Cumberland,NYJ,TE,74,2016
Demario Davis,NYJ,MLB,81,2016
Kellen Davis,NYJ,TE,74,2016
Eric Decker,NYJ,WR,86,2016
Dakota Dozier,NYJ,RG,69,2016
Ikemefuna Enemkpali,NYJ,ROLB,68,2016
Quincy Enunwa,NYJ,WR,65,2016
Shaq Evans,NYJ,WR,65,2016
D'Brickashaw Ferguson,NYJ,LT,84,2016
Ryan Fitzpatrick,NYJ,QB,78,2016
Nick Folk,NYJ,K,80,2016
Dalton Freeman,NYJ,C,69,2016
Breno Giacomini,NYJ,RT,78,2016
Marcus Gilchrist,NYJ,SS,79,2016
T.J. Graham,NYJ,WR,71,2016
Saalim Hakim,NYJ,WR,57,2016
David Harris,NYJ,MLB,81,2016
Damon Harrison,NYJ,DT,88,2016
Jarvis Harrison,NYJ,RG,68,2016
Erin Henderson,NYJ,MLB,74,2016
Ben Ijalana,NYJ,LT,66,2016
Chris Ivory,NYJ,HB,80,2016
Jaiquawn Jarrett,NYJ,SS,79,2016
Wesley Johnson,NYJ,C,67,2016
Jeremy Kerley,NYJ,WR,76,2016
Jamari Lattimore,NYJ,MLB,72,2016
Nick Mangold,NYJ,C,95,2016
Brandon Marshall,NYJ,WR,89,2016
Lorenzo Mauldin,NYJ,LOLB,67,2016
Joe Mays,NYJ,MLB,77,2016
Dexter McDougle,NYJ,CB,70,2016
Rontez Miles,NYJ,FS,71,2016
Dee Milliner,NYJ,CB,77,2016
Chris Owusu,NYJ,WR,68,2016
Calvin Pace,NYJ,LOLB,77,2016
Bryce Petty,NYJ,QB,70,2016
DeVier Posey,NYJ,WR,68,2016
Bilal Powell,NYJ,HB,74,2016
Walter Powell,NYJ,WR,62,2016
Calvin Pryor,NYJ,FS,82,2016
Tanner Purdum,NYJ,TE,54,2016
Ryan Quigley,NYJ,P,84,2016
Trevor Reilly,NYJ,LOLB,69,2016
Darrelle Revis,NYJ,CB,97,2016
Daryl Richardson,NYJ,HB,68,2016
Sheldon Richardson,NYJ,RE,92,2016
Stevan Ridley,NYJ,HB,76,2016
Wes Saxton,NYJ,TE,63,2016
Deon Simon,NYJ,DT,64,2016
Buster Skrine,NYJ,CB,78,2016
Devin Smith,NYJ,WR,72,2016
Geno Smith,NYJ,QB,76,2016
Zac Stacy,NYJ,HB,76,2016
Zach Sudfeld,NYJ,TE,71,2016
Kevin Vickerson,NYJ,LE,74,2016
Darrin Walls,NYJ,CB,74,2016
Muhammad Wilkerson,NYJ,LE,96,2016
Leonard Williams,NYJ,LE,80,2016
Marcus Williams,NYJ,CB,71,2016
Brian Winters,NYJ,LG,69,2016
Ameer Abdullah,DET,HB,74,2016
Isa Abdul-Quddus,DET,SS,71,2016
Ezekiel Ansah,DET,RE,88,2016
David Ausberry,DET,TE,74,2016
Joique Bell,DET,HB,80,2016
Bill Bentley,DET,CB,72,2016
Taylor Boggs,DET,C,67,2016
Al Bond,DET,RG,62,2016
Ryan Broyles,DET,WR,71,2016
Michael Burton,DET,FB,64,2016
Crezdon Butler,DET,CB,65,2016
Josh Bynes,DET,LOLB,75,2016
Don Carey,DET,FS,73,2016
Alex Carter,DET,CB,68,2016
Braxston Cave,DET,C,66,2016
Jermelle Cudjo,DET,DT,70,2016
Quandre Diggs,DET,CB,65,2016
Eric Ebron,DET,TE,75,2016
Joseph Fauria,DET,TE,77,2016
Corey Fuller,DET,WR,72,2016
Garrett Gilbert,DET,QB,65,2016
Phillip Hunt,DET,LE,73,2016
Emil Igwenagu,DET,TE,65,2016
James Ihedigbo,DET,SS,85,2016
Calvin Johnson,DET,WR,95,2016
Vernon Johnson,DET,WR,59,2016
Jason Jones,DET,LE,80,2016
T.J. Jones,DET,WR,67,2016
Darren Keyton,DET,C,64,2016
Nevin Lawson,DET,CB,72,2016
DeAndre Levy,DET,ROLB,93,2016
Travis Lewis,DET,MLB,65,2016
Cornelius Lucas,DET,LT,65,2016
Sam Martin,DET,P,91,2016
Rashean Mathis,DET,CB,84,2016
Kellen Moore,DET,QB,71,2016
Lance Moore,DET,WR,73,2016
Don Muhlbach,DET,TE,59,2016
Nate Ness,DET,CB,66,2016
Haloti Ngata,DET,DT,92,2016
Dan Orlovsky,DET,QB,70,2016
Chris Owens,DET,CB,75,2016
Brandon Pettigrew,DET,TE,77,2016
Matt Prater,DET,K,85,2016
Xavier Proctor,DET,RE,62,2016
Glover Quin,DET,FS,90,2016
Manny Ramirez,DET,LG,79,2016
Caraun Reid,DET,DT,68,2016
Riley Reiff,DET,LT,82,2016
Theo Riddick,DET,HB,75,2016
Corey Robinson,DET,LT,63,2016
Jeremy Ross,DET,WR,72,2016
Greg Salas,DET,WR,70,2016
Mohammed Seisay,DET,CB,65,2016
Darius Slay,DET,CB,84,2016
Matthew Stafford,DET,QB,84,2016
Julian Stanford,DET,ROLB,72,2016
Travis Swanson,DET,C,73,2016
Darryl Tapp,DET,RE,72,2016
Golden Tate,DET,WR,88,2016
Devin Taylor,DET,LE,72,2016
Jordan Thompson,DET,TE,67,2016
Laken Tomlinson,DET,LG,74,2016
Stephen Tulloch,DET,MLB,87,2016
Kyle Van Noy,DET,LOLB,72,2016
LaAdrian Waddle,DET,RT,79,2016
Tyrunn Walker,DET,DT,79,2016
Larry Warford,DET,RG,87,2016
Larry Webster,DET,LE,69,2016
Tahir Whitehead,DET,MLB,82,2016
Michael Williams,DET,RT,66,2016
Josh Wilson,DET,CB,78,2016
George Winn,DET,HB,69,2016
Gabe Wright,DET,DT,65,2016
Zach Zenner,DET,HB,67,2016
Jared Abbrederis,GB,WR,69,2016
Davante Adams,GB,WR,79,2016
Kennard Backman,GB,TE,64,2016
David Bakhtiari,GB,LT,79,2016
Chris Banjo,GB,SS,69,2016
Don Barclay,GB,RT,75,2016
Sam Barrington,GB,MLB,74,2016
Matt Blanchard,GB,QB,62,2016
Javess Blue,GB,WR,60,2016
Josh Boyd,GB,LE,76,2016
Carl Bradford,GB,MLB,71,2016
Bryan Bulaga,GB,RT,87,2016
Morgan Burnett,GB,SS,86,2016
Ha Ha Clinton-Dix,GB,FS,81,2016
Randall Cobb,GB,WR,91,2016
Ricky Collins,GB,WR,61,2016
John Crockett,GB,HB,68,2016
Mason Crosby,GB,K,84,2016
Mike Daniels,GB,RE,89,2016
Jayrone Elliott,GB,LOLB,68,2016
Bruce Gaston,GB,RE,63,2016
Garth Gerhart,GB,LG,70,2016
Tay Glover-Wright,GB,CB,68,2016
Brett Goode,GB,C,62,2016
Demetri Goodson,GB,CB,71,2016
Letroy Guion,GB,DT,74,2016
LaDarius Gunter,GB,CB,63,2016
Alonzo Harris,GB,HB,60,2016
Casey Hayward,GB,CB,85,2016
Adrian Hubbard,GB,LOLB,64,2016
Brett Hundley,GB,QB,70,2016
Micah Hyde,GB,FS,79,2016
Jeff Janis,GB,WR,71,2016
Datone Jones,GB,LE,74,2016
John Kuhn,GB,FB,89,2016
Eddie Lacy,GB,HB,90,2016
T.J. Lang,GB,RG,92,2016
Corey Linsley,GB,C,86,2016
Tim Masthay,GB,P,63,2016
Clay Matthews,GB,MLB,90,2016
Ty Montgomery,GB,WR,69,2016
Andy Mulumba,GB,ROLB,68,2016
Mike Neal,GB,ROLB,76,2016
Rajion Neal,GB,HB,66,2016
Jordy Nelson,GB,WR,93,2016
Nate Palmer,GB,LOLB,66,2016
Mike Pennel,GB,DT,69,2016
Julius Peppers,GB,LOLB,88,2016
Justin Perillo,GB,TE,64,2016
Nick Perry,GB,ROLB,79,2016
Andrew Quarless,GB,TE,77,2016
B.J. Raji,GB,DT,81,2016
Damarious Randall,GB,CB,72,2016
Sean Richardson,GB,SS,73,2016
Christian Ringo,GB,DT,62,2016
Aaron Ripkowski,GB,FB,65,2016
Aaron Rodgers,GB,QB,99,2016
Richard Rodgers,GB,TE,74,2016
Quinten Rollins,GB,CB,67,2016
Jake Ryan,GB,MLB,65,2016
Sam Shields,GB,CB,82,2016
Josh Sitton,GB,LG,97,2016
James Starks,GB,HB,78,2016
Lane Taylor,GB,RG,66,2016
Joe Thomas,GB,MLB,65,2016
Khyri Thornton,GB,LE,68,2016
Scott Tolzien,GB,QB,71,2016
J.C. Tretter,GB,C,73,2016
Jeremy Vujnovich,GB,LT,60,2016
Myles White,GB,WR,64,2016
Mario Addison,CAR,LE,77,2016
Frank Alexander,CAR,LE,69,2016
Derek Anderson,CAR,QB,72,2016
Cameron Artis-Payne,CAR,HB,69,2016
Kelvin Benjamin,CAR,WR,86,2016
Bene Benwikere,CAR,CB,81,2016
Brenton Bersin,CAR,WR,67,2016
Tre Boston,CAR,FS,81,2016
Jarrett Boykin,CAR,WR,72,2016
Richie Brockel,CAR,FB,75,2016
Corey Brown,CAR,WR,73,2016
Mike Brown,CAR,WR,66,2016
Carrington Byndom,CAR,CB,64,2016
Nate Chandler,CAR,RT,76,2016
Colin Cole,CAR,DT,74,2016
Kurt Coleman,CAR,SS,79,2016
Jerricho Cotchery,CAR,WR,76,2016
Thomas Davis,CAR,LOLB,90,2016
Ed Dickson,CAR,TE,76,2016
Kony Ealy,CAR,RE,72,2016
Dwan Edwards,CAR,DT,75,2016
Brian Folkerts,CAR,C,67,2016
David Foucault,CAR,RT,67,2016
Devin Funchess,CAR,WR,72,2016
Graham Gano,CAR,K,87,2016
Ted Ginn Jr.,CAR,WR,75,2016
Adarius Glanton,CAR,LOLB,64,2016
Tyronne Green,CAR,RG,71,2016
Roman Harper,CAR,SS,79,2016
Stephen Hill,CAR,WR,66,2016
Wes Horton,CAR,RE,74,2016
Ben Jacobs,CAR,MLB,64,2016
J.J. Jansen,CAR,TE,51,2016
Charles Johnson,CAR,LE,89,2016
Colin Jones,CAR,FS,72,2016
Ryan Kalil,CAR,C,87,2016
A.J. Klein,CAR,ROLB,74,2016
Luke Kuechly,CAR,MLB,96,2016
Robert Lester,CAR,SS,75,2016
Star Lotulelei,CAR,DT,87,2016
Kyle Love,CAR,DT,73,2016
Dean Marlowe,CAR,FS,62,2016
Jonathan Martin,CAR,LT,67,2016
David Mayo,CAR,MLB,65,2016
Cam Newton,CAR,QB,90,2016
Josh Norman,CAR,CB,84,2016
Brad Nortman,CAR,P,81,2016
Andrew Norwell,CAR,LG,79,2016
Michael Oher,CAR,LT,72,2016
Greg Olsen,CAR,TE,92,2016
Garry Peters,CAR,CB,63,2016
De'Andre Presley,CAR,WR,58,2016
Darrin Reaves,CAR,HB,64,2016
Kevin Reddick,CAR,ROLB,69,2016
Micanor Regis,CAR,DT,64,2016
Mike Remmers,CAR,RT,77,2016
Chris Scott,CAR,RG,72,2016
Kawann Short,CAR,DT,83,2016
Amini Silatolu,CAR,LG,74,2016
Jonathan Stewart,CAR,HB,84,2016
Shaq Thompson,CAR,ROLB,72,2016
Charles Tillman,CAR,CB,81,2016
Jordan Todman,CAR,HB,73,2016
Mike Tolbert,CAR,FB,80,2016
Jason Trusnik,CAR,MLB,72,2016
Trai Turner,CAR,RG,83,2016
Martin Wallace,CAR,LT,59,2016
Joe Webb,CAR,QB,66,2016
Melvin White,CAR,CB,69,2016
Fozzy Whittaker,CAR,HB,68,2016
Brandon Williams,CAR,TE,72,2016
Daryl Williams,CAR,RT,70,2016
Teddy Williams,CAR,CB,60,2016
Ryan Allen,NE,P,72,2016
Danny Amendola,NE,WR,79,2016
Jake Bequette,NE,LE,75,2016
LeGarrette Blount,NE,HB,80,2016
Brandon Bolden,NE,HB,73,2016
Josh Boyce,NE,WR,67,2016
Tom Brady,NE,QB,97,2016
Alan Branch,NE,DT,79,2016
Malcom Brown,NE,DT,72,2016
Malcolm Butler,NE,CB,76,2016
Travaris Cadet,NE,HB,71,2016
Marcus Cannon,NE,LT,72,2016
Joe Cardona,NE,TE,47,2016
Scott Chandler,NE,TE,80,2016
Patrick Chung,NE,SS,88,2016
Jamie Collins,NE,LOLB,90,2016
Fred Davis,NE,TE,75,2016
A.J. Derby,NE,TE,63,2016
James Develin,NE,FB,87,2016
Jordan Devey,NE,LG,73,2016
Xzavier Dickson,NE,RE,66,2016
Aaron Dobson,NE,WR,75,2016
Dominique Easley,NE,DT,75,2016
Nate Ebner,NE,SS,67,2016
Julian Edelman,NE,WR,89,2016
Cameron Fleming,NE,RT,72,2016
Darius Fleming,NE,LOLB,67,2016
Bradley Fletcher,NE,CB,77,2016
Dane Fletcher,NE,MLB,69,2016
Trey Flowers,NE,LE,72,2016
Matt Flynn,NE,QB,73,2016
Jonathan Freeny,NE,LOLB,71,2016
Tyler Gaffney,NE,HB,69,2016
Jimmy Garoppolo,NE,QB,73,2016
Brandon Gibson,NE,WR,73,2016
Stephen Gostkowski,NE,K,95,2016
Jonas Gray,NE,HB,72,2016
Justin Green,NE,CB,69,2016
Geneo Grissom,NE,RE,63,2016
Rob Gronkowski,NE,TE,99,2016
Duron Harmon,NE,FS,73,2016
Caylin Hauptmann,NE,RT,67,2016
Dont'a Hightower,NE,ROLB,93,2016
Michael Hoomanawanui,NE,TE,77,2016
Tre Jackson,NE,LG,70,2016
Antonio Johnson,NE,DT,73,2016
Rufus Johnson,NE,LOLB,66,2016
